,Modelo,Clasificación Energética,Mínimo,Máximo,Mínimo.1,Máximo.1
145,Volkswagen Turismos T-Roc MY22 T-Roc Advance 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"6,3","6,3","143,0","143,0"
146,Volkswagen Turismos T-Roc MY22 T-Roc Advance 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.,,"4,9","4,9","128,0","128,0"
147,Volkswagen Turismos T-Roc MY22 T-Roc ADVANCE 2.0 TDI 110kW (150CV) Manual 6 velocidades*,,"4,8","4,8","125,0","125,0"
148,Volkswagen Turismos T-Roc MY22 T-Roc Advance 2.0 TDI 85 kW (115 CV)  6 vel.,,"4,7","4,7","123,0","123,0"
149,Volkswagen Turismos T-Roc MY22 T-Roc Advance R- Line 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.,,"4,9","4,9","128,0","128,0"
150,Volkswagen Turismos T-Roc MY22 T-Roc Advance R-Line 1.0 TSI 81 kW (110 CV)  6 vel.,,"6,0","6,0","136,0","136,0"
151,Volkswagen Turismos T-Roc MY22 T-Roc Advance R-Line 1.5 TSI 110 kW (150 CV)  6 vel.,,"6,2","6,2","142,0","142,0"
152,Volkswagen Turismos T-Roc MY22 T-Roc Advance R-Line 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"6,3","6,3","144,0","144,0"
153,Volkswagen Turismos T-Roc MY22 T-Roc Advance R-Line 2.0 TDI 110kW (150CV) Manual 6 velocidades*,,"4,8","4,8","126,0","126,0"
154,Volkswagen Turismos T-Roc MY22 T-Roc Advance R-Line 2.0 TDI 85 kW (115 CV)  6 vel.,,"4,7","4,7","123,0","123,0"
155,Volkswagen Turismos T-Roc MY22 T-Roc Advance Style 1.0 TSI 81 kW (110 CV)  6 vel.,,"6,0","6,0","136,0","136,0"
156,Volkswagen Turismos T-Roc MY22 T-Roc Advance Style 1.5 TSI 110 kW (150 CV)  6 vel.,,"6,2","6,2","142,0","142,0"
157,Volkswagen Turismos T-Roc MY22 T-Roc Advance Style 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"6,3","6,3","144,0","144,0"
158,Volkswagen Turismos T-Roc MY22 T-Roc Advance Style 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.,,"4,9","4,9","128,0","128,0"
159,Volkswagen Turismos T-Roc MY22 T-Roc Advance Style 2.0 TDI 110kW (150CV) Manual 6 velocidades*,,"4,8","4,8","126,0","126,0"
160,Volkswagen Turismos T-Roc MY22 T-Roc Advance Style 2.0 TDI 85 kW (115 CV)  6 vel.,,"4,7","4,7","123,0","123,0"
161,Volkswagen Turismos T-Roc MY22 T-Roc Edition 1.0 TSI 81 kW (110 CV)  6 vel.,,"6,0","6,0","135,0","135,0"
162,Volkswagen Turismos T-Roc MY22 T-Roc Edition 2.0 TDI 85 kW (115 CV)  6 vel.,,"4,7","4,7","122,0","122,0"
163,Volkswagen Turismos T-Roc MY22 T-Roc R 2.0 TSI 4Motion 221 kW (300 CV)  Automatico DSG 7 vel.,,"8,6","8,6","195,0","195,0"
164,Volkswagen Turismos T-Roc MY22 T-Roc Sport 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"6,3","6,3","144,0","144,0"
165,Volkswagen Turismos T-Roc MY22 T-Roc SPORT 1.5 TSI EVO 110kW (150CV) Manual 6 velocidades,,"6,2","6,2","142,0","142,0"
166,Volkswagen Turismos T-Roc MY22 T-Roc Sport 2.0 TDI 110 kW (150 CV)  6 vel.,,"4,8","4,8","126,0","126,0"
167,Volkswagen Turismos T-Roc MY22 T-Roc Sport 2.0 TDI 110 kW (150 CV)  Automatico DSG 7 vel.,,"4,9","4,9","128,0","128,0"
168,Volkswagen Turismos T-Roc MY22 T-Roc Sport 2.0 TDI 4Motion 110 kW (150 CV)  Automatico DSG 7 vel.,,"5,5","5,5","145,0","145,0"
169,Volkswagen Turismos T-Roc MY22 T-Roc Sport 2.0 TSI 4Motion 140 kW (190 CV)  Automatico DSG 7 vel.,,"7,4","7,4","168,0","168,0"
170,Volkswagen Turismos Taigo MY22 Taigo Life 70kW (95CV) Manual 5 vel.,,"5,5","5,5","123,0","123,0"
171,Volkswagen Turismos Taigo MY22 Taigo Life 81kW (110CV) Aut. DSG 7 vel.,,"5,9","5,9","133,0","133,0"
172,Volkswagen Turismos Taigo MY22 Taigo Life 81kW (110CV) Manual 6 vel.,,"5,4","5,4","123,0","123,0"
173,Volkswagen Turismos Taigo MY22 Taigo R-Line 110kW (150CV) Aut. DSG 7 vel.,,"6,1","6,1","138,0","138,0"
174,Volkswagen Turismos Taigo MY22 Taigo R-Line 81kW (110CV) Aut. DSG 7 vel.,,"5,9","5,9","134,0","134,0"
175,Volkswagen Turismos Taigo MY22 Taigo R-Line 81kW (110CV) Manual 6 vel.,,"5,5","5,5","125,0","125,0"
176,Volkswagen Turismos Tiguan Allspace MY 21 Tiguan Allspace Advance 1.5 TSI EVO 110 kW (150 CV) 6 vel.,,"7,2","7,2","163,0","163,0"
177,Volkswagen Turismos Tiguan Allspace MY 21 Tiguan Allspace Advance 1.5 TSI EVO 110 kW (150 CV) Automático DSG 7 vel.,,"7,5","7,5","171,0","171,0"
178,Volkswagen Turismos Tiguan Allspace MY 21 Tiguan Allspace Advance 2.0 TDI 110 kW (150 CV) 6 vel.,,"5,6","5,6","146,0","146,0"
179,Volkswagen Turismos Tiguan Allspace MY 21 Tiguan Allspace Advance 2.0 TDI 110 kW (150 CV) Automático DSG 7 vel.,,"6,0","6,0","158,0","158,0"
180,Volkswagen Turismos Tiguan Allspace MY 21 Tiguan Allspace Advance 2.0 TDI 4Motion 110 kW (150 CV) Automático DSG 7 vel.,,"6,7","6,7","176,0","176,0"
181,Volkswagen Turismos Tiguan Allspace MY 21 Tiguan Allspace Sport 1.5 TSI EVO 110 kW (150 CV) Automático DSG 7 vel.,,"7,5","7,5","171,0","171,0"
182,Volkswagen Turismos Tiguan Allspace MY 21 Tiguan Allspace Sport 2.0 TDI 110 kW (150 CV) 6 vel.,,"5,6","5,6","146,0","146,0"
